tender_id,bidder_id,tender_value,bid_value,award_status,submission_date,department,location
TEND_00185,COMP_047,6473388,2005826.0,Lost,2023-08-09,Education,Chennai
TEND_01227,COMP_088,6600634,2889664.0,Lost,2024-12-23,Education,Kolkata
TEND_00406,COMP_050,4354572,2658275.0,Lost,2023-01-25,IT,Chennai
TEND_00231,COMP_010,2284489,1423369.0,Lost,2024-06-11,Health,Bangalore
TEND_00170,COMP_040,9574682,2135212.0,Lost,2023-07-01,Infrastructure,Kolkata
TEND_01226,COMP_046,7254212,5275852.0,Lost,2024-05-13,Education,Kolkata
TEND_00903,COMP_025,9678519,4216774.0,Lost,2024-10-02,Education,Hyderabad
TEND_00977,COMP_059,4522471,197999.0,Lost,2023-02-11,Health,Chennai
TEND_00053,COMP_005,4573669,4587923.0,Lost,2024-04-25,Health,Bangalore
TEND_00155,COMP_029,7454852,8494975.0,Lost,2024-03-14,Defense,Delhi
TEND_00385,COMP_060,5031505,9186923.0,Lost,2024-02-06,Infrastructure,Hyderabad
TEND_00996,COMP_085,1816891,4645108.0,Lost,2024-06-29,Health,Chennai
TEND_00929,COMP_068,4571373,4251376.890000001,Won,2023-12-11,Education,Delhi
TEND_01185,COMP_029,6069877,1329382.0,Lost,2023-02-14,Education,Chennai
TEND_01160,COMP_001,3394769,7241042.0,Lost,2024-10-07,IT,Hyderabad
TEND_00694,COMP_011,9230351,3898321.0,Lost,2023-01-21,Health,Delhi
TEND_00743,COMP_014,153355,2699837.0,Lost,2024-09-25,Defense,Hyderabad
TEND_00461,COMP_027,1312752,7729365.0,Lost,2023-03-11,Infrastructure,Chennai
TEND_01438,COMP_037,9834633,8556130.709999999,Won,2023-02-17,Defense,Kolkata
TEND_01256,COMP_041,5714789,4622033.0,Lost,2024-05-05,Education,Mumbai
TEND_00265,COMP_005,9745979,9453599.629999999,Won,2024-07-04,Defense,Kolkata
TEND_00700,COMP_006,9355648,3302181.0,Lost,2023-10-14,Education,Hyderabad
TEND_00460,COMP_057,5793066,5307696.0,Lost,2023-01-10,Education,Hyderabad
TEND_00357,COMP_037,6163790,5199048.0,Lost,2024-06-25,Education,Hyderabad
TEND_01263,COMP_029,4771339,968780.0,Lost,2023-10-01,Education,Delhi
TEND_00170,COMP_039,9939550,8406735.0,Lost,2024-08-22,Education,Bangalore
TEND_00629,COMP_046,3325709,1987811.0,Lost,2024-01-16,IT,Hyderabad
TEND_00594,COMP_055,134654,110416.28,Won,2023-11-25,Defense,Kolkata
TEND_00569,COMP_083,5197581,343090.0,Lost,2024-04-23,IT,Mumbai
TEND_00438,COMP_063,2004354,8750956.0,Lost,2023-01-15,IT,Hyderabad
TEND_00072,COMP_062,8292680,5470838.0,Lost,2024-05-30,Health,Hyderabad
TEND_00760,COMP_013,2478388,8525932.0,Lost,2023-07-10,Health,Hyderabad
TEND_00207,COMP_010,8966786,2365688.0,Lost,2023-06-17,Health,Delhi
TEND_01526,COMP_038,2713046,1850808.0,Lost,2024-06-04,Infrastructure,Hyderabad
TEND_00131,COMP_099,5549720,4939250.8,Won,2024-09-12,Health,Kolkata
TEND_00485,COMP_056,6690913,4581119.0,Lost,2023-05-17,Defense,Chennai
TEND_01040,COMP_037,3466664,4060470.0,Lost,2023-06-03,IT,Bangalore
TEND_01465,COMP_015,3435659,4699798.0,Lost,2024-01-23,Defense,Hyderabad
TEND_00599,COMP_061,3435357,3667138.0,Lost,2023-07-28,Health,Delhi
TEND_00319,COMP_041,1515689,1333806.32,Won,2023-09-29,Infrastructure,Kolkata
TEND_00116,COMP_005,118148,8106896.0,Lost,2023-05-23,Infrastructure,Hyderabad
TEND_01094,COMP_004,1875665,2888940.0,Lost,2024-09-02,IT,Delhi
TEND_01279,COMP_072,2795683,2767726.17,Won,2023-03-10,Defense,Chennai
TEND_01630,COMP_081,4106518,1252068.0,Lost,2023-09-04,Education,Mumbai
TEND_01415,COMP_052,2719995,4409406.0,Lost,2023-09-18,Defense,Hyderabad
TEND_01434,COMP_015,5047895,8827882.0,Lost,2023-03-20,Health,Kolkata
TEND_00629,COMP_090,6447986,1431980.0,Lost,2024-10-19,Education,Delhi
TEND_00750,COMP_014,1920928,1253052.0,Lost,2024-09-14,Infrastructure,Delhi
TEND_01380,COMP_094,4205299,7545960.0,Lost,2024-08-27,IT,Hyderabad
TEND_00270,COMP_032,6299859,3085267.0,Lost,2024-06-08,IT,Delhi
TEND_00588,COMP_040,2355413,1225887.0,Lost,2024-09-12,Infrastructure,Mumbai
TEND_01109,COMP_062,3960197,4484850.0,Lost,2023-11-26,Health,Delhi
TEND_01161,COMP_085,5608019,7581765.0,Lost,2023-07-08,Infrastructure,Bangalore
TEND_01131,COMP_060,5464709,1941220.0,Lost,2023-04-05,Health,Bangalore
TEND_00119,COMP_051,321836,3183744.0,Lost,2024-09-08,Education,Delhi
TEND_01051,COMP_051,3634702,8580078.0,Lost,2023-01-08,Infrastructure,Hyderabad
TEND_00884,COMP_049,7331369,6980774.0,Lost,2023-03-08,Health,Bangalore
TEND_00405,COMP_057,2349435,1412223.0,Lost,2024-05-10,Education,Kolkata
TEND_00765,COMP_048,8635377,9488754.0,Lost,2023-07-10,Infrastructure,Bangalore
TEND_00447,COMP_002,2708505,2473081.0,Lost,2024-01-01,IT,Delhi
TEND_01531,COMP_034,1321741,4318445.0,Lost,2024-06-04,Infrastructure,Hyderabad
TEND_01139,COMP_011,3819315,3229790.0,Lost,2023-04-27,Defense,Chennai
TEND_00364,COMP_042,1096797,6726935.0,Lost,2023-09-24,Infrastructure,Hyderabad
TEND_00537,COMP_031,3097262,6734142.0,Lost,2024-09-02,Defense,Hyderabad
TEND_01271,COMP_090,614685,5035961.0,Lost,2024-04-29,Education,Hyderabad
TEND_00093,COMP_088,2929190,2431227.6999999997,Won,2024-05-23,Infrastructure,Kolkata
TEND_01360,COMP_063,5646411,692296.0,Lost,2023-10-25,Education,Mumbai
TEND_01332,COMP_060,9750344,1594302.0,Lost,2023-06-13,Education,Delhi
TEND_00664,COMP_027,1057293,3167951.0,Lost,2024-01-11,Health,Mumbai
